Review text,Ratings,sentiment,clean_review
Super ballREAD MORE,5,1,super ballread
According to cost it's average lifeREAD MORE,5,1,according cost average liferead
So worstREAD MORE,2,0,worstread
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,1,0,poor quality read
Quality not good              It was broken after 2 matchREAD MORE,1,0,quality good broken matchread
Nice product but damage in 1 daysREAD MORE,2,0,nice product damage daysread
Not good at all this is the worst product I have bought at flipkartREAD MORE,1,0,good worst product bought flipkartread
Low quality. Not durabalityREAD MORE,5,1,low quality durabalityread
BadlyREAD MORE,1,0,badlyread
Very bad qualityREAD MORE,1,0,bad qualityread
Very bad product a word to describe I write duplicate productREAD MORE,1,0,bad product word describe write duplicate productread
This time quality very very worstREAD MORE,1,0,time quality worstread
Poor quality ☹️READ MORE,2,0,poor quality read
Very  low bad quality product Flipkart is fooling everyoneREAD MORE,3,0,low bad quality product flipkart fooling everyoneread
"This shuttles were duplicates, these were not up to the mark.READ MORE",2,0,shuttle duplicate markread
Very bad product I ever receivedREAD MORE,1,0,bad product ever receivedread
Bad copy quality riceveREAD MORE,1,0,bad copy quality riceveread
Waste of moneyREAD MORE,1,0,waste moneyread
Quality is very bad and very very tired class shuttecockREAD MORE,1,0,quality bad tired class shuttecockread
WorstREAD MORE,1,0,worstread
So poor qualityREAD MORE,1,0,poor qualityread
Reate is wery to muchREAD MORE,1,0,reate wery muchread
The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,1,0,worst shuttle ever used far dont buy product low qualityread
not upto mark cork getting cracksREAD MORE,2,0,upto mark cork getting cracksread
Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,1,0,poor quality lasting one set base breakinf top wornread
"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",1,0,bad quality good dont like prefer beacuse delivery late comfortable change elf near product also deliver emergency thing dont order flipcart better go apps really bad service product quality also badread
Very goodREAD MORE,5,1,goodread
Good quality of shuttlesREAD MORE,5,1,good quality shuttlesread
"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",5,1,im writing review rated star received duplicate productnow im rating star received original yonex mavis shuttlethank future hope receive original productsread
Bad productedREAD MORE,1,0,bad productedread
Good productREAD MORE,4,1,good productread
Received counterfeit product.READ MORE,3,0,received counterfeit productread
If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,5,1,u play hour daily shuttle would last maximum daysread
Good productREAD MORE,5,1,good productread
One day 1cap gaanREAD MORE,3,0,one day cap gaanread
GoodREAD MORE,5,1,goodread
Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,5,1,superb price higher day day two week price gained rsread
Good qualityREAD MORE,5,1,good qualityread
Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850READ MORE,3,0,costly lockdown phase previously o sometimes sometimes read
BestREAD MORE,5,1,bestread
I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,4,1,play every day play really hard court always best choiceread
This item is so good you can buy it it is originalREAD MORE,5,1,item good buy originalread
Excellent for Indoor courtREAD MORE,5,1,excellent indoor courtread
Genuine product. Nice packing.READ MORE,5,1,genuine product nice packingread
Good quality..😍🖤READ MORE,5,1,good qualityread
Nice thanks  FlipkartREAD MORE,4,1,nice thanks flipkartread
Nice productREAD MORE,5,1,nice productread
"Gradual decrease in quality, less longevity.READ MORE",3,0,gradual decrease quality less longevityread
Nice productREAD MORE,5,1,nice productread
wow productREAD MORE,4,1,wow productread
1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,1,0,box box bad shuttle shuttle box playableread
Product is not same as shown in the picture.READ MORE,1,0,product shown pictureread
just Average.... not 100% goodREAD MORE,3,0,average goodread
"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",1,0,realized buy shuttle online ever cheap duplicate product refund amount replacement product plz dont waste moneyread
Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,2,0,shuttle okayishits movement air bit different mavis sread
I found that some of the shuttle are differentREAD MORE,3,0,found shuttle differentread
shuttle was not of genuine conectarte qualityREAD MORE,1,0,shuttle genuine conectarte qualityread
poor qualityREAD MORE,1,0,poor qualityread
2 balls are waste. they are rotate. unable to play.READ MORE,4,1,ball waste rotate unable playread
very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,1,0,poor quality shuttle standing daysread
original productREAD MORE,5,1,original productread
Shuttle not goodREAD MORE,2,0,shuttle goodread
good as expectedREAD MORE,5,1,good expectedread
goodREAD MORE,5,1,goodread
Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,1,0,yonex mavis pure item shuttle oldread
"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",5,1,nice product suggest youplz buy product original productmade japan read
Good👍READ MORE,4,1,goodread
very niceREAD MORE,5,1,niceread
niceREAD MORE,5,1,niceread
nice shuttle for outdoorREAD MORE,5,1,nice shuttle outdoorread
good productREAD MORE,5,1,good productread
amazing cost and amazing oneREAD MORE,5,1,amazing cost amazing oneread
The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,4,1,packing made flipkart absolutely perfect mavis pretty good think cost side get r play hard shuttlesread
good dilevary and very good productREAD MORE,5,1,good dilevary good productread
it's worthREAD MORE,3,0,worthread
GoodREAD MORE,3,0,goodread
Looks like these are fake shuttles & not sold by yonex.READ MORE,1,0,look like fake shuttle sold yonexread
worst product not to buy low qualityREAD MORE,1,0,worst product buy low qualityread
shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,1,0,shuttle shapeless may mishandelrd transportationread
product is not goodREAD MORE,1,0,product goodread
"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",1,0,day delivery something really frustrating even till didnt get product please work serviceread
bad qualityREAD MORE,1,0,bad qualityread
Very good productREAD MORE,5,1,good productread
best quality shuttlesREAD MORE,5,1,best quality shuttlesread
good quality. value the moneyREAD MORE,5,1,good quality value moneyread
very goodREAD MORE,3,0,goodread
Very worstREAD MORE,1,0,worstread
NOT BAD....READ MORE,4,1,badread
shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,5,1,shuttle good playing last day shuttle still goodvalue moneythank u flipkartread
"Bad Quality,,,,,,READ MORE",1,0,bad qualityread
Quality is not good. Little bit fast.READ MORE,2,0,quality good little bit fastread
Excellent it's original as I buy in local sports storesREAD MORE,5,1,excellent original buy local sport storesread
"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",1,0,poor quality shuttle become broke within hour playing ie within dayread
The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,1,0,shuttle worn really quickly quickly regular mavis tried verify authenticity product entering code onto website lo genuine productive attached picture reference developed hairline crack quickly half match shuttle qualityread
Nice product best price superREAD MORE,5,1,nice product best price superread
If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350READ MORE,3,0,professional player played mavis green colour dont go product lighter slower green one new buyer go ahead buy doesnt matter speed slower green mavis read
Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,4,1,optimum weight speed easy control shot easy court cover good learner even beginner base thermocol type material like yonex shurttles cork base doesnt get ruptured easily worth buyingread
It's not suitable for outdoorREAD MORE,1,0,suitable outdoorread
It seems it is not original. Lighter and not lasting for more than an hour of play.READ MORE,2,0,seems original lighter lasting hour playread
Horrible shuttle I ever playREAD MORE,2,0,horrible shuttle ever playread
"Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.READ MORE",5,1,finally got orginal yonex mavis genuine piecethere many fake avilable marketso serious player buy wont regretread
One shuttle lasts hardly 5 days which is very less. So I would suggest to the makers to keep in mind this thing before manufacturing. Price is also very high. Make it either durable or cheap for user friendly.READ MORE,3,0,one shuttle last hardly day less would suggest maker keep mind thing manufacturing price also high make either durable cheap user friendlyread
"Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.READ MORE",5,1,item received excellent condition within one day thanks team however one suggestion please dont send item big cardboard box actually wastage resourcesread
